ID,Name,Sex,Age,LastPrimary,Latitude,Longitude,Education,HHIncome,ReligiousAffil,Support24,TopIssue,RRPetition
615,Voter 615,M,98,NR,41.04526,-73.58479,HS,50k-100k,Protestant,R,RFree,NS
616,Voter 616,M,99,NR,41.04296,-73.62425,HS,50k-100k,Protestant,R,NR,NS
617,Voter 617,M,32,NR,41.05534,-73.58239,Bachelor,50k-100k,Protestant,D,NR,NS
618,Voter 618,F,32,NR,41.03577,-73.67164,Bachelor,50k-100k,Protestant,D,Womens,Signed
619,Voter 619,F,32,NR,41.11689,-73.64578,Bachelor,50k-100k,None,D,Womens,Signed
620,Voter 620,F,34,NR,41.03892,-73.66043,HS,50k-100k,Protestant,R,Crime,NS
621,Voter 621,F,35,NR,41.02758,-73.65211,HS,50k-100k,Protestant,R,NR,NS
622,Voter 622,F,36,NR,41.08707,-73.65473,Bachelor,50k-100k,Protestant,R,NR,NS
623,Voter 623,F,37,NR,41.02678,-73.55742,HS,50k-100k,Protestant,R,NR,NS
624,Voter 624,F,38,NR,41.05254,-73.58788,HS,50k-100k,Protestant,R,NR,Signed
625,Voter 625,F,38,NR,41.02737,-73.65657,HS,50k-100k,Protestant,D,NR,Signed
626,Voter 626,F,39,NR,41.08905,-73.70638,HS,50k-100k,Protestant,D,NR,Signed
627,Voter 627,M,47,R,41.03248,-73.60038,HS,50k-100k,Protestant,R,NR,NS
628,Voter 628,M,48,NR,41.07916,-73.61749,NR,50k-100k,Protestant,R,NR,NS
629,Voter 629,F,49,NR,41.02345,-73.63262,HS,50k-100k,Protestant,R,Economy,NS
630,Voter 630,F,51,R,41.14013,-73.63913,HS,50k-100k,Protestant,R,NR,NS
631,Voter 631,M,54,NR,41.03281,-73.62825,HS,50k-100k,Protestant,R,NR,NS
632,Voter 632,M,55,NR,41.07159,-73.65699,HS,50k-100k,NR,R,NR,NS
633,Voter 633,F,56,NR,41.12846,-73.63685,HS,50k-100k,Protestant,R,NR,NS
634,Voter 634,M,56,NR,41.02658,-73.61849,HS,50k-100k,Protestant,R,NR,NS
635,Voter 635,F,58,NR,41.02741,-73.59142,HS,50k-100k,Protestant,R,NR,NS
636,Voter 636,F,58,NR,41.04219,-73.63238,HS,50k-100k,Protestant,R,NR,NS
637,Voter 637,F,59,NR,41.05387,-73.58277,HS,50k-100k,NR,R,NR,NS
638,Voter 638,M,59,NR,41.00294,-73.65609,HS,50k-100k,Protestant,R,Crime,NS
639,Voter 639,F,60,NR,41.03113,-73.57709,HS,50k-100k,Protestant,R,NR,NS
640,Voter 640,M,60,NR,41.03701,-73.59645,Bachelor,50k-100k,Protestant,R,NR,NS
641,Voter 641,M,62,NR,41.01573,-73.64209,HS,50k-100k,Protestant,R,NR,NS
642,Voter 642,F,62,R,41.04436,-73.56667,HS,50k-100k,Protestant,R,NR,NS
643,Voter 643,F,66,R,41.10707,-73.66004,NR,50k-100k,Protestant,R,NR,NS
644,Voter 644,M,66,NR,41.06883,-73.61014,HS,50k-100k,Protestant,R,NR,NS
645,Voter 645,M,67,NR,41.03868,-73.57509,HS,50k-100k,Protestant,R,NR,NS
646,Voter 646,M,67,NR,41.02618,-73.66483,HS,50k-100k,Protestant,R,NR,NR
647,Voter 647,M,67,NR,41.02666,-73.62816,HS,50k-100k,Protestant,R,NR,NS
648,Voter 648,F,69,NR,41.00832,-73.64865,HS,50k-100k,NR,R,NR,NS
649,Voter 649,M,69,NR,41.07871,-73.68081,HS,50k-100k,Protestant,R,RFree,NS
650,Voter 650,F,70,NR,41.02322,-73.57948,HS,50k-100k,Protestant,R,NR,NS
651,Voter 651,M,71,NR,41.03334,-73.62785,HS,50k-100k,Protestant,R,NR,NS
652,Voter 652,F,71,NR,41.02433,-73.57091,HS,50k-100k,Protestant,R,NR,NS
653,Voter 653,M,72,NR,41.03598,-73.62117,HS,50k-100k,Protestant,R,NR,NS
654,Voter 654,M,76,NR,41.03048,-73.65936,HS,50k-100k,Protestant,R,NR,NS
655,Voter 655,F,76,NR,41.03731,-73.57831,HS,50k-100k,Protestant,R,NR,NS
656,Voter 656,F,76,R,41.03381,-73.62679,HS,50k-100k,Protestant,R,Crime,NS
657,Voter 657,F,77,NR,41.05212,-73.56903,NR,50k-100k,Protestant,R,NR,NS
658,Voter 658,M,79,NR,41.03437,-73.59604,HS,50k-100k,Protestant,R,NR,NS
659,Voter 659,F,80,NR,41.08826,-73.61915,HS,50k-100k,Protestant,R,Crime,Signed
660,Voter 660,F,81,NR,41.08506,-73.59932,HS,50k-100k,NR,R,NR,NS
661,Voter 661,M,84,NR,41.02998,-73.62459,NR,50k-100k,Protestant,R,NR,NS
662,Voter 662,F,87,NR,41.04319,-73.56854,HS,50k-100k,Protestant,R,RFree,NS
663,Voter 663,M,91,NR,41.02567,-73.56012,HS,50k-100k,NR,R,NR,NS
664,Voter 664,M,94,NR,41.04152,-73.58314,HS,50k-100k,NR,R,NR,NS
665,Voter 665,F,95,R,41.03228,-73.56596,HS,50k-100k,Protestant,R,Crime,NS
666,Voter 666,M,96,NR,41.02017,-73.61634,HS,50k-100k,Protestant,R,NR,NS
667,Voter 667,F,103,NR,41.05005,-73.61301,HS,50k-100k,Protestant,R,NR,NS
668,Voter 668,M,103,NR,41.06277,-73.60473,HS,50k-100k,Protestant,R,NR,NS
669,Voter 669,M,31,NR,41.01959,-73.55932,Some College,Under 50k,None,D,NR,NS
670,Voter 670,M,32,NR,41.01202,-73.63384,HS,50k-100k,NR,D,NR,NS
671,Voter 671,F,33,NR,41.05015,-73.58076,Some College,50k-100k,NR,R,NR,NS
672,Voter 672,F,33,NR,41.09276,-73.64826,Some College,50k-100k,Protestant,R,NR,Signed
673,Voter 673,M,34,NR,41.03926,-73.57277,HS,50k-100k,NR,R,NR,NS
674,Voter 674,F,34,NR,41.04594,-73.60225,Some College,50k-100k,Protestant,R,NR,Signed
675,Voter 675,F,35,NR,41.06628,-73.62921,Some College,50k-100k,Protestant,R,NR,NS
676,Voter 676,M,37,NR,41.04127,-73.60046,HS,50k-100k,Protestant,R,Economy,NS
677,Voter 677,M,38,NR,41.02643,-73.57837,HS,50k-100k,Protestant,R,NR,NS
678,Voter 678,M,38,NR,41.05056,-73.56995,Some College,50k-100k,Protestant,R,Economy,NS
679,Voter 679,M,39,NR,41.03526,-73.62891,HS,50k-100k,NR,R,Crime,NS
680,Voter 680,F,39,NR,41.08378,-73.60065,Some College,50k-100k,Protestant,D,NR,Signed
681,Voter 681,F,40,NR,41.02835,-73.65482,NR,50k-100k,Protestant,R,NR,NS
682,Voter 682,F,40,NR,41.03479,-73.62551,Bachelor,50k-100k,Protestant,R,NR,NS
683,Voter 683,F,40,NR,41.03502,-73.61228,HS,50k-100k,Protestant,D,NR,NR
684,Voter 684,F,42,NR,41.03304,-73.62618,HS,50k-100k,Protestant,R,Parents,NS
685,Voter 685,M,42,NR,41.03343,-73.67014,Bachelor,50k-100k,Protestant,R,NR,NS
686,Voter 686,M,46,NR,41.00722,-73.62979,HS,50k-100k,Protestant,R,NR,NS
687,Voter 687,M,47,NR,41.04916,-73.64261,HS,50k-100k,Protestant,R,Economy,NS
688,Voter 688,M,51,NR,41.09038,-73.69877,Some College,50k-100k,Protestant,R,NR,NS
689,Voter 689,F,52,R,41.05611,-73.60391,HS,50k-100k,Protestant,R,NR,NS
690,Voter 690,M,52,NR,41.03396,-73.62027,HS,50k-100k,Protestant,R,NR,NS
691,Voter 691,M,53,NR,41.03753,-73.57664,HS,50k-100k,Protestant,R,Economy,NS
692,Voter 692,F,53,NR,41.02351,-73.65088,HS,50k-100k,Protestant,R,NR,NS
693,Voter 693,M,53,NR,41.02544,-73.55937,HS,50k-100k,Protestant,R,NR,NS
694,Voter 694,F,56,NR,41.05573,-73.58234,Bachelor,50k-100k,Protestant,R,NR,NS
695,Voter 695,F,56,NR,41.03839,-73.58351,HS,200k-300k,Protestant,R,NR,NR
696,Voter 696,F,57,NR,41.02505,-73.61576,HS,50k-100k,Protestant,R,NR,NS
697,Voter 697,M,57,R,41.02298,-73.62089,Some College,50k-100k,Protestant,R,NR,NS
698,Voter 698,F,58,NR,41.05598,-73.57192,HS,50k-100k,Protestant,D,NR,NS
699,Voter 699,M,59,NR,41.01009,-73.63304,Some College,50k-100k,NR,R,NR,NS
700,Voter 700,F,59,NR,41.04573,-73.61828,HS,50k-100k,Protestant,R,Parents,NS
701,Voter 701,F,59,NR,41.03839,-73.58351,HS,50k-100k,Protestant,R,NR,NS
702,Voter 702,M,60,NR,41.11135,-73.63115,HS,50k-100k,Protestant,R,NR,NS
703,Voter 703,F,60,NR,41.02087,-73.65011,HS,50k-100k,Protestant,R,NR,NS
704,Voter 704,M,61,NR,41.03821,-73.62261,Bachelor,50k-100k,Protestant,R,RFree,NS
705,Voter 705,M,62,NR,41.04838,-73.57336,HS,50k-100k,Protestant,R,NR,NS
706,Voter 706,M,62,R,41.02769,-73.61831,Bachelor,50k-100k,Protestant,R,NR,NS
707,Voter 707,M,63,NR,41.05785,-73.68818,HS,50k-100k,Protestant,R,NR,NS
708,Voter 708,M,64,R,41.03532,-73.56373,HS,50k-100k,Protestant,R,NR,NS
709,Voter 709,M,65,NR,41.08071,-73.63603,Some College,50k-100k,Protestant,D,NR,NS
710,Voter 710,M,67,NR,41.05599,-73.67196,HS,50k-100k,Protestant,R,RFree,NS
711,Voter 711,F,67,NR,41.04805,-73.56711,Some College,50k-100k,Protestant,R,NR,NS
712,Voter 712,M,70,NR,41.02371,-73.62196,Some College,50k-100k,Protestant,R,Crime,NS
713,Voter 713,M,71,NR,41.02307,-73.63511,Some College,50k-100k,Protestant,R,NR,NS
714,Voter 714,F,72,NR,41.03304,-73.62618,HS,50k-100k,Catholic,R,NR,NS
715,Voter 715,M,72,NR,41.02386,-73.62965,Some College,50k-100k,Protestant,R,NR,NS
716,Voter 716,M,75,NR,41.02407,-73.66073,HS,50k-100k,Protestant,R,NR,NS
717,Voter 717,M,78,NR,41.01571,-73.65709,Some College,50k-100k,Protestant,R,RFree,NS
718,Voter 718,F,79,R,41.08466,-73.61381,NR,50k-100k,NR,R,NR,NS
719,Voter 719,F,82,NR,41.00318,-73.65789,Some College,50k-100k,Protestant,R,NR,NS
720,Voter 720,M,82,NR,41.04442,-73.60603,HS,50k-100k,Protestant,R,RFree,NS
721,Voter 721,F,84,NR,41.07202,-73.60748,Bachelor,100k-200k,Protestant,R,NR,NS
722,Voter 722,F,84,NR,41.03003,-73.62293,Bachelor,50k-100k,Protestant,R,Crime,NS
723,Voter 723,F,88,NR,41.02025,-73.63644,HS,50k-100k,Protestant,R,NR,NS
724,Voter 724,M,89,NR,41.05681,-73.58742,Some College,50k-100k,Protestant,R,RFree,NS
725,Voter 725,F,92,NR,41.01005,-73.65345,HS,50k-100k,Protestant,R,NR,NS
726,Voter 726,M,96,NR,41.09276,-73.64565,HS,50k-100k,Protestant,D,NR,NS
727,Voter 727,M,99,NR,41.04371,-73.62275,HS,50k-100k,Protestant,R,RFree,NS
728,Voter 728,F,108,NR,41.02308,-73.62565,HS,50k-100k,Protestant,R,Crime,NS
729,Voter 729,F,32,NR,41.04382,-73.59157,Some College,50k-100k,Protestant,D,Economy,Signed
730,Voter 730,F,34,NR,41.08029,-73.60167,Some College,50k-100k,None,D,NR,NR
731,Voter 731,M,34,NR,41.08481,-73.59845,NR,50k-100k,Protestant,R,Economy,NS
732,Voter 732,M,37,NR,41.02268,-73.56594,Some College,50k-100k,Protestant,R,NR,NR
733,Voter 733,M,39,NR,41.05731,-73.68883,Some College,50k-100k,NR,R,NR,NS
734,Voter 734,F,39,NR,41.00864,-73.65077,Some College,50k-100k,Protestant,D,Womens,NS
735,Voter 735,F,39,NR,41.08599,-73.65101,Some College,50k-100k,Protestant,R,NR,NS
736,Voter 736,F,39,NR,41.06564,-73.60593,Some College,50k-100k,Protestant,R,NR,Signed
737,Voter 737,F,39,NR,41.04016,-73.60096,NR,50k-100k,Protestant,R,NR,NR
738,Voter 738,F,40,NR,41.09741,-73.67451,NR,50k-100k,Protestant,R,NR,NS
739,Voter 739,F,40,NR,41.03861,-73.58348,Some College,50k-100k,Protestant,D,NR,Signed
740,Voter 740,F,44,NR,41.05474,-73.62689,Some College,50k-100k,Protestant,R,NR,NS
741,Voter 741,M,45,NR,41.07826,-73.68336,Some College,50k-100k,Protestant,R,NR,NS
742,Voter 742,M,45,NR,41.01347,-73.59247,Bachelor,50k-100k,Protestant,R,NR,NS
743,Voter 743,M,47,NR,41.03784,-73.57518,Some College,50k-100k,Protestant,R,NR,NR
744,Voter 744,F,48,NR,41.09043,-73.68798,Some College,50k-100k,Protestant,R,NR,NS
745,Voter 745,F,48,NR,41.00856,-73.64902,NR,50k-100k,NR,R,NR,Signed
746,Voter 746,M,49,NR,41.01639,-73.64278,Some College,50k-100k,Protestant,R,NR,NS
747,Voter 747,M,50,NR,41.03524,-73.66255,Some College,50k-100k,Protestant,R,NR,NS
748,Voter 748,F,52,R,41.05822,-73.57197,Some College,50k-100k,Protestant,R,Economy,NS
749,Voter 749,F,55,NR,41.05499,-73.57808,Some College,50k-100k,Protestant,R,NR,NS
750,Voter 750,F,55,NR,41.01567,-73.65708,Some College,50k-100k,Protestant,R,NR,NS
751,Voter 751,M,56,NR,41.04584,-73.60399,Some College,50k-100k,NR,R,NR,NS
752,Voter 752,M,56,NR,41.04779,-73.57721,Some College,50k-100k,Protestant,R,NR,NS
753,Voter 753,F,58,NR,41.04415,-73.60238,Some College,50k-100k,Protestant,R,NR,NS
754,Voter 754,F,60,NR,41.02055,-73.63967,Some College,50k-100k,None,R,NR,NR
755,Voter 755,M,60,R,41.04805,-73.56711,Bachelor,50k-100k,NR,R,NR,NS
756,Voter 756,M,62,NR,41.09244,-73.60741,NR,50k-100k,Protestant,R,NR,NS
757,Voter 757,F,62,R,41.05084,-73.63537,Some College,50k-100k,Protestant,R,Crime,NS
758,Voter 758,M,65,NR,41.04706,-73.56966,Some College,50k-100k,Protestant,R,NR,NS
759,Voter 759,F,66,NR,41.05175,-73.56684,Some College,50k-100k,NR,D,NR,NS
760,Voter 760,M,67,NR,41.08381,-73.63465,Some College,50k-100k,Protestant,R,Crime,NS
761,Voter 761,F,70,NR,41.08828,-73.70658,Bachelor,50k-100k,Protestant,R,NR,NS
762,Voter 762,F,72,NR,41.03637,-73.59829,Some College,50k-100k,Protestant,R,Economy,NS
763,Voter 763,M,75,NR,41.05019,-73.57075,Some College,50k-100k,Protestant,R,NR,NS
764,Voter 764,M,75,NR,41.09378,-73.60435,Some College,50k-100k,Protestant,R,Environment,NR
765,Voter 765,F,76,NR,41.02856,-73.65547,NR,50k-100k,Protestant,R,NR,Signed
766,Voter 766,F,77,NR,41.02049,-73.61987,Some College,50k-100k,Protestant,R,NR,NS
767,Voter 767,F,80,NR,41.01853,-73.61925,NR,50k-100k,Protestant,R,NR,NS
768,Voter 768,M,80,R,41.04992,-73.59053,Some College,50k-100k,Protestant,R,NR,NR
769,Voter 769,F,82,NR,41.07089,-73.59534,Some College,50k-100k,NR,D,NR,Signed
770,Voter 770,F,82,NR,41.06364,-73.58807,Some College,50k-100k,Protestant,R,NR,NS
771,Voter 771,M,83,NR,41.04514,-73.59409,Some College,50k-100k,NR,D,NR,NS
772,Voter 772,M,83,NR,41.13892,-73.63865,Some College,50k-100k,Protestant,R,Crime,NS
773,Voter 773,F,84,R,41.06674,-73.58282,NR,200k-300k,None,D,NR,NR
774,Voter 774,M,85,NR,41.07124,-73.62127,Some College,50k-100k,Protestant,R,NR,NS
775,Voter 775,M,88,NR,41.05739,-73.68882,Some College,50k-100k,NR,D,NR,NS
776,Voter 776,F,88,NR,41.06342,-73.58294,Some College,50k-100k,Protestant,R,NR,NS
777,Voter 777,F,92,NR,41.04724,-73.59401,Some College,50k-100k,Protestant,R,NR,NS
778,Voter 778,M,92,R,41.03094,-73.66256,Some College,50k-100k,Protestant,R,RFree,NS
779,Voter 779,M,32,NR,41.10409,-73.60473,Some College,50k-100k,Protestant,R,NR,NS
780,Voter 780,F,32,NR,41.03659,-73.58031,Some College,50k-100k,Protestant,D,NR,Signed
781,Voter 781,F,33,NR,41.05083,-73.60582,NR,50k-100k,Protestant,R,NR,NS
782,Voter 782,F,35,NR,41.03334,-73.62785,Some College,50k-100k,Protestant,R,NR,NS
783,Voter 783,F,35,NR,41.04169,-73.60121,Some College,50k-100k,Protestant,R,NR,Signed
784,Voter 784,M,36,NR,41.04462,-73.59752,Bachelor,50k-100k,NR,D,NR,NS
785,Voter 785,F,36,NR,41.03592,-73.57141,Some College,50k-100k,Protestant,R,NR,NS
786,Voter 786,M,36,NR,41.06452,-73.60963,Some College,50k-100k,Protestant,R,NR,NS
787,Voter 787,F,36,NR,41.03289,-73.62831,Some College,50k-100k,Protestant,R,NR,Signed
788,Voter 788,F,37,NR,41.00318,-73.65246,Some College,50k-100k,Protestant,R,NR,NS
789,Voter 789,F,38,NR,41.02193,-73.56413,NR,50k-100k,Protestant,R,NR,NS
790,Voter 790,F,39,NR,41.02246,-73.63656,Some College,50k-100k,Protestant,D,Womens,Signed
791,Voter 791,F,40,NR,41.00491,-73.62932,NR,50k-100k,Protestant,R,NR,NS
792,Voter 792,F,42,NR,41.04997,-73.61919,Some College,50k-100k,Protestant,R,NR,NS
793,Voter 793,F,42,NR,41.03071,-73.62815,Some College,50k-100k,None,R,NR,Signed
794,Voter 794,F,45,R,41.03376,-73.61663,Some College,50k-100k,NR,R,NR,NS
795,Voter 795,F,45,NR,41.03477,-73.61429,Some College,100k-200k,Protestant,R,NR,NR
796,Voter 796,M,45,NR,41.06394,-73.63198,Some College,50k-100k,Protestant,R,NR,NS
797,Voter 797,M,45,NR,41.03994,-73.59547,Some College,50k-100k,Protestant,D,Economy,Signed
798,Voter 798,M,46,NR,41.06304,-73.63748,Some College,50k-100k,Protestant,R,NR,NR
799,Voter 799,F,48,NR,41.04508,-73.66675,Some College,50k-100k,Protestant,R,NR,NS
800,Voter 800,M,50,NR,41.03281,-73.62825,Some College,50k-100k,NR,R,NR,NS
801,Voter 801,M,52,NR,41.00895,-73.65013,Some College,50k-100k,Protestant,R,NR,NS
802,Voter 802,M,54,NR,41.03753,-73.57665,Some College,50k-100k,Protestant,R,NR,NS
803,Voter 803,F,54,NR,41.04221,-73.59982,Some College,50k-100k,Protestant,R,NR,NS
804,Voter 804,M,56,NR,41.08628,-73.62758,NR,50k-100k,Protestant,R,NR,NS
805,Voter 805,F,58,R,41.01405,-73.64211,Some College,50k-100k,NR,R,NR,NS
806,Voter 806,F,59,NR,41.02317,-73.58736,Some College,50k-100k,Protestant,R,NR,NS
807,Voter 807,F,60,NR,41.04805,-73.56712,Some College,50k-100k,Protestant,R,NR,NS
808,Voter 808,M,61,NR,41.11786,-73.61872,NR,50k-100k,Protestant,R,NR,NS
809,Voter 809,F,63,NR,41.02891,-73.56425,Some College,50k-100k,Protestant,R,NR,NS
810,Voter 810,M,63,NR,41.05596,-73.63025,Some College,50k-100k,NR,R,NR,NS
811,Voter 811,M,66,NR,41.10162,-73.70366,Some College,50k-100k,Protestant,R,NR,NS
812,Voter 812,F,66,NR,41.08947,-73.65537,Some College,50k-100k,Protestant,R,NR,NS
813,Voter 813,M,67,NR,41.08346,-73.60069,Some College,50k-100k,NR,D,NR,NS
814,Voter 814,M,67,NR,41.03817,-73.58491,Some College,50k-100k,Protestant,R,NR,NS
815,Voter 815,F,68,NR,41.09906,-73.64985,NR,50k-100k,Protestant,D,NR,Signed
816,Voter 816,F,73,R,41.07516,-73.62751,Bachelor,50k-100k,Protestant,R,NR,NS
817,Voter 817,F,78,NR,41.11316,-73.67922,Some College,50k-100k,Protestant,R,RFree,NS
818,Voter 818,F,80,NR,41.09007,-73.65494,Some College,50k-100k,Protestant,D,RFree,NS
819,Voter 819,F,82,NR,41.03029,-73.64344,Some College,50k-100k,Protestant,R,NR,NS
820,Voter 820,F,83,NR,41.02326,-73.63382,Some College,50k-100k,Protestant,D,NR,NS
821,Voter 821,F,83,NR,41.02651,-73.58849,Some College,50k-100k,NR,R,NR,NS
822,Voter 822,F,86,NR,41.02919,-73.63595,Some College,50k-100k,Protestant,R,NR,NS
823,Voter 823,M,89,NR,41.04524,-73.61083,Some College,50k-100k,Protestant,R,RFree,NS
824,Voter 824,M,90,NR,41.03266,-73.59061,Some College,50k-100k,NR,R,NR,NS
825,Voter 825,F,92,NR,41.02207,-73.56085,Some College,50k-100k,Protestant,R,NR,NS
826,Voter 826,M,93,NR,41.03219,-73.58567,Some College,50k-100k,Protestant,R,NR,NS
827,Voter 827,M,95,R,41.02257,-73.65971,Some College,50k-100k,Protestant,R,NR,NS
828,Voter 828,F,97,NR,41.06937,-73.62203,Some College,50k-100k,NR,R,NR,NS
829,Voter 829,M,100,NR,41.02971,-73.56707,Some College,50k-100k,NR,D,NR,NS
830,Voter 830,F,32,NR,41.09766,-73.61686,Some College,50k-100k,Protestant,D,NR,Signed
831,Voter 831,M,35,NR,41.02575,-73.66299,Some College,50k-100k,Protestant,R,NR,NS
832,Voter 832,F,35,NR,40.99959,-73.65692,Some College,50k-100k,Protestant,R,RFree,NS
833,Voter 833,M,37,NR,41.02933,-73.58255,Some College,50k-100k,Protestant,R,NR,NS
834,Voter 834,F,38,NR,41.03274,-73.58919,NR,50k-100k,NR,D,NR,NS
835,Voter 835,M,38,NR,41.02683,-73.62729,Some College,50k-100k,Protestant,R,NR,NS
836,Voter 836,M,40,NR,41.04805,-73.56711,NR,200k-300k,NR,D,Economy,NS
837,Voter 837,M,40,NR,41.02617,-73.61158,Some College,50k-100k,Protestant,R,NR,NS
838,Voter 838,F,40,NR,41.02862,-73.63421,Some College,50k-100k,Protestant,R,NR,NS
839,Voter 839,M,41,NR,41.13978,-73.63899,Some College,50k-100k,NR,R,NR,NS
840,Voter 840,F,45,NR,41.03263,-73.66305,Some College,50k-100k,Protestant,D,NR,Signed
841,Voter 841,F,45,NR,41.02365,-73.61677,Some College,50k-100k,Protestant,R,NR,NS
842,Voter 842,F,45,NR,41.03848,-73.57336,Some College,50k-100k,Protestant,R,RFree,NS
843,Voter 843,M,47,NR,41.06534,-73.63951,NR,50k-100k,Protestant,R,NR,NS
844,Voter 844,M,48,NR,41.03586,-73.58939,Some College,50k-100k,NR,R,NR,NS
845,Voter 845,M,48,NR,41.02681,-73.58099,Some College,50k-100k,Protestant,R,NR,NS
846,Voter 846,F,54,NR,41.07665,-73.58756,Some College,50k-100k,Protestant,R,NR,NS
847,Voter 847,M,54,NR,41.02476,-73.58735,Some College,50k-100k,Protestant,R,NR,NR
848,Voter 848,M,56,NR,41.02162,-73.66167,Some College,50k-100k,Protestant,R,Economy,NS
849,Voter 849,M,57,NR,41.02209,-73.66281,Some College,50k-100k,Protestant,R,NR,NS
850,Voter 850,M,57,NR,41.01736,-73.62226,Some College,50k-100k,Protestant,R,NR,NS
851,Voter 851,F,57,NR,41.07353,-73.63541,NR,50k-100k,Protestant,D,NR,NR
852,Voter 852,M,58,NR,41.02195,-73.57602,Some College,50k-100k,Protestant,R,NR,NS
853,Voter 853,F,58,NR,41.02175,-73.65494,NR,50k-100k,Protestant,R,NR,NS
854,Voter 854,M,62,NR,41.00628,-73.65637,Some College,50k-100k,Protestant,R,NR,NS
855,Voter 855,M,62,NR,41.03532,-73.56373,Some College,50k-100k,Protestant,R,NR,NS
856,Voter 856,F,68,NR,41.04228,-73.59081,Bachelor,50k-100k,Protestant,R,NR,NS
857,Voter 857,M,71,NR,41.03151,-73.57446,Some College,50k-100k,Protestant,R,NR,NS
858,Voter 858,M,73,NR,41.08225,-73.65494,NR,50k-100k,Protestant,R,NR,NS
859,Voter 859,M,75,NR,41.04906,-73.57326,Some College,50k-100k,Protestant,R,NR,NS
860,Voter 860,M,75,NR,41.03694,-73.62549,Some College,50k-100k,Protestant,R,NR,NS
861,Voter 861,F,79,NR,41.06328,-73.60468,NR,50k-100k,Protestant,R,NR,NS
862,Voter 862,M,81,NR,41.04705,-73.63167,Some College,50k-100k,Protestant,R,NR,NS
863,Voter 863,M,83,NR,41.02278,-73.57076,Some College,50k-100k,Protestant,R,Crime,NS
864,Voter 864,M,96,NR,41.03522,-73.61769,Some College,50k-100k,Protestant,R,RFree,NS
865,Voter 865,F,103,NR,41.04169,-73.60121,Some College,50k-100k,Protestant,R,NR,NS
866,Voter 866,M,32,NR,41.00125,-73.64703,Some College,100k-200k,None,D,NR,NS
867,Voter 867,F,32,NR,41.06863,-73.57749,Some College,50k-100k,Protestant,D,NR,Signed
868,Voter 868,F,33,NR,41.05129,-73.57037,Some College,50k-100k,Protestant,R,NR,NS
869,Voter 869,M,35,NR,41.02286,-73.63501,NR,50k-100k,Protestant,R,NR,NS
870,Voter 870,F,35,NR,41.07937,-73.66213,Some College,100k-200k,NR,R,Womens,Signed
871,Voter 871,F,35,D,41.04255,-73.60278,Some College,100k-200k,Protestant,D,NR,Signed
872,Voter 872,F,36,NR,41.06121,-73.57939,Some College,100k-200k,Protestant,R,NR,NS
873,Voter 873,M,36,NR,41.02958,-73.56571,Some College,100k-200k,Protestant,R,NR,Signed
874,Voter 874,F,38,NR,41.02987,-73.57511,Some College,50k-100k,Catholic,R,NR,NS
875,Voter 875,M,40,NR,41.05347,-73.66909,Some College,100k-200k,Protestant,R,RFree,NS
876,Voter 876,F,43,NR,41.02703,-73.57098,NR,100k-200k,Protestant,R,NR,NS
877,Voter 877,M,43,NR,41.04953,-73.59531,Some College,50k-100k,Protestant,R,NR,NS
878,Voter 878,M,43,NR,41.03062,-73.56668,Some College,50k-100k,Protestant,R,NR,NS
879,Voter 879,M,44,NR,41.04949,-73.57312,Some College,Over 500k,Protestant,R,NR,NS
880,Voter 880,F,46,NR,41.05707,-73.62838,Some College,100k-200k,Protestant,R,NR,NS
881,Voter 881,M,49,NR,41.04963,-73.62493,Some College,100k-200k,Protestant,D,NR,NS
882,Voter 882,F,49,NR,41.04284,-73.60273,Some College,100k-200k,Protestant,R,NR,NS
883,Voter 883,M,53,NR,41.05733,-73.68883,Some College,50k-100k,Protestant,R,Economy,NR
884,Voter 884,F,53,NR,41.06439,-73.63282,NR,100k-200k,Protestant,R,NR,NS
885,Voter 885,M,53,NR,41.03436,-73.59621,Some College,100k-200k,Protestant,R,NR,NS
886,Voter 886,M,55,NR,41.03559,-73.61416,Some College,100k-200k,Protestant,R,NR,NR
887,Voter 887,F,55,NR,41.03578,-73.57492,Some College,100k-200k,Protestant,R,NR,NS
888,Voter 888,M,57,NR,41.07927,-73.62458,Some College,50k-100k,Protestant,R,NR,NS
889,Voter 889,F,57,NR,41.02381,-73.63389,Some College,100k-200k,Protestant,R,NR,NS
890,Voter 890,F,62,NR,41.02459,-73.56966,Some College,Under 50k,Protestant,R,NR,NS
891,Voter 891,F,63,NR,41.05938,-73.57882,Bachelor,100k-200k,Protestant,R,NR,NS
892,Voter 892,M,65,NR,41.05475,-73.62956,Some College,100k-200k,NR,D,NR,NS
893,Voter 893,M,65,NR,41.07348,-73.67827,Some College,100k-200k,Protestant,R,NR,NS
894,Voter 894,M,67,NR,41.03472,-73.58499,Some College,50k-100k,Protestant,R,NR,NS
895,Voter 895,F,67,NR,41.03746,-73.59769,Some College,100k-200k,Protestant,R,NR,NS
896,Voter 896,F,68,NR,41.03532,-73.56373,Some College,100k-200k,Protestant,R,NR,NS
897,Voter 897,M,71,NR,41.02902,-73.57704,Some College,50k-100k,Protestant,R,NR,NS
898,Voter 898,F,75,NR,41.06781,-73.59163,NR,100k-200k,Protestant,R,NR,NS
899,Voter 899,F,76,NR,41.02472,-73.55758,Some College,100k-200k,NR,R,NR,NS
900,Voter 900,M,76,NR,41.03195,-73.59039,Some College,100k-200k,Protestant,R,NR,NS
